Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kettle-corn,Kettle Corn Gourmet Popcorn,"<p>Lightly sweetened with a hint of salt. Perfectly balanced sweet and savory flavor.</p><p>Our Kettle Corn is made fresh with premium ingredients for the perfect snacking experience.</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,kettle corn,snack",TRUE,Size,Snack Size (4 cups),KC-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Kettle Corn Popcorn Snack Size,FALSE,Kettle Corn Gourmet Popcorn | iPOP,Fresh kettle corn popcorn - lightly sweetened with a hint of salt. Perfect balance of sweet and savory in every bite.,,lb,,6.00,active
kettle-corn,Kettle Corn Gourmet Popcorn,"<p>Lightly sweetened with a hint of salt. Perfectly balanced sweet and savory flavor.</p><p>Our Kettle Corn is made fresh with premium ingredients for the perfect snacking experience.</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,kettle corn,snack",TRUE,Size,Value Size (1 gallon),KC-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Kettle Corn Popcorn Value Size,FALSE,Kettle Corn Gourmet Popcorn | iPOP,Fresh kettle corn popcorn - lightly sweetened with a hint of salt. Perfect balance of sweet and savory in every bite.,,lb,,9.00,active
caramel-apple,Caramel Apple Gourmet Popcorn,"<p>Sweet caramel coating with crisp apple flavor. A fall favorite year-round!</p><p>Experience the perfect combination of buttery caramel and fresh apple taste.</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,caramel,apple,seasonal",TRUE,Size,Snack Size (4 cups),CA-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Caramel Apple Popcorn Snack Size,FALSE,Caramel Apple Gourmet Popcorn | iPOP,Sweet caramel apple popcorn - a fall favorite available year-round. Buttery caramel with crisp apple flavor.,,lb,,6.00,active
caramel-apple,Caramel Apple Gourmet Popcorn,"<p>Sweet caramel coating with crisp apple flavor. A fall favorite year-round!</p><p>Experience the perfect combination of buttery caramel and fresh apple taste.</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,caramel,apple,seasonal",TRUE,Size,Value Size (1 gallon),CA-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Caramel Apple Popcorn Value Size,FALSE,Caramel Apple Gourmet Popcorn | iPOP,Sweet caramel apple popcorn - a fall favorite available year-round. Buttery caramel with crisp apple flavor.,,lb,,9.00,active
buffalo-ranch,Buffalo Ranch Gourmet Popcorn,"<p>Spicy buffalo heat meets cool ranch. Bold flavor for the adventurous!</p><p>Perfect for those who love a kick with their snack. Not too spicy, just right!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,savory,buffalo,ranch,spicy",TRUE,Size,Snack Size (4 cups),BR-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Buffalo Ranch Popcorn Snack Size,FALSE,Buffalo Ranch Gourmet Popcorn | iPOP,Spicy buffalo ranch popcorn - bold flavors for the adventurous snacker. Perfect combination of heat and cool ranch.,,lb,,6.00,active
buffalo-ranch,Buffalo Ranch Gourmet Popcorn,"<p>Spicy buffalo heat meets cool ranch. Bold flavor for the adventurous!</p><p>Perfect for those who love a kick with their snack. Not too spicy, just right!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,savory,buffalo,ranch,spicy",TRUE,Size,Value Size (1 gallon),BR-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Buffalo Ranch Popcorn Value Size,FALSE,Buffalo Ranch Gourmet Popcorn | iPOP,Spicy buffalo ranch popcorn - bold flavors for the adventurous snacker. Perfect combination of heat and cool ranch.,,lb,,9.00,active
birthday-cake,Birthday Cake Gourmet Popcorn,"<p>Sweet vanilla cake flavor with colorful sprinkles. Celebrate any day!</p><p>Tastes just like birthday cake in popcorn form. Fun for all ages!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,birthday,cake,celebration,kids",TRUE,Size,Snack Size (4 cups),BC-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Birthday Cake Popcorn Snack Size,FALSE,Birthday Cake Gourmet Popcorn | iPOP,Birthday cake flavored popcorn with colorful sprinkles. Sweet vanilla cake flavor - celebrate any day!,,lb,,6.00,active
birthday-cake,Birthday Cake Gourmet Popcorn,"<p>Sweet vanilla cake flavor with colorful sprinkles. Celebrate any day!</p><p>Tastes just like birthday cake in popcorn form. Fun for all ages!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,birthday,cake,celebration,kids",TRUE,Size,Value Size (1 gallon),BC-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Birthday Cake Popcorn Value Size,FALSE,Birthday Cake Gourmet Popcorn | iPOP,Birthday cake flavored popcorn with colorful sprinkles. Sweet vanilla cake flavor - celebrate any day!,,lb,,9.00,active
white-cheddar,White Cheddar Gourmet Popcorn,"<p>Creamy white cheddar coating. Rich and smooth cheese flavor.</p><p>Made with real white cheddar cheese for an authentic, delicious taste.</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,savory,cheese,cheddar",TRUE,Size,Snack Size (4 cups),WC-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,White Cheddar Popcorn Snack Size,FALSE,White Cheddar Gourmet Popcorn | iPOP,Creamy white cheddar popcorn made with real cheese. Rich and smooth flavor in every bite.,,lb,,6.00,active
white-cheddar,White Cheddar Gourmet Popcorn,"<p>Creamy white cheddar coating. Rich and smooth cheese flavor.</p><p>Made with real white cheddar cheese for an authentic, delicious taste.</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,savory,cheese,cheddar",TRUE,Size,Value Size (1 gallon),WC-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,White Cheddar Popcorn Value Size,FALSE,White Cheddar Gourmet Popcorn | iPOP,Creamy white cheddar popcorn made with real cheese. Rich and smooth flavor in every bite.,,lb,,9.00,active
